Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,0,458027449050,28.504,-0.624,0.066,37,0,28504,-624,66,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.554,-0.685,0.073,31,0,28554,-685,73,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.578,-0.747,0.08,35,0,28578,-747,80,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.606,-0.808,0.086,27,0,28606,-808,86,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.595,-0.869,0.092,29,0,28595,-869,92,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.663,-0.932,0.098,30,0,28663,-932,98,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.674,-0.993,0.104,35,0,28674,-993,104,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.745,-1.057,0.11,34,0,28745,-1057,110,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.761,-1.117,0.115,32,0,28761,-1117,115,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.799,-1.18,0.12,27,0,28799,-1180,120,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.777,-1.24,0.125,27,0,28777,-1240,125,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.798,-1.303,0.13,29,0,28798,-1303,130,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.862,-1.366,0.135,25,0,28862,-1366,135,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.898,-1.429,0.139,31,0,28898,-1429,139,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.86,-1.489,0.143,28,0,28860,-1489,143,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.936,-1.553,0.147,27,0,28936,-1553,147,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.942,-1.615,0.151,31,0,28942,-1615,151,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.908,-1.674,0.155,31,0,28908,-1674,155,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.964,-1.74,0.158,28,0,28964,-1740,158,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.957,-1.801,0.161,27,0,28957,-1801,161,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.925,-1.859,0.164,29,0,28925,-1859,164,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,28.993,-1.924,0.167,28,0,28993,-1924,167,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,29,-1.986,0.17,30,0,29000,-1986,170,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,29.005,-2.047,0.172,34,0,29005,-2047,172,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,29.03,-2.109,0.175,28,0,29030,-2109,175,0,0,0
5,1,1,0,0x00000000,0,0,458027449050,29.032,-2.17,0.177,28,0,29032,-2170,177,0,0,0
